word|level
just|C1
justification|C1
keen|C1
kidnap|C1
kidney|C1
kingdom|C1
landlord|C1
landmark|C1
lap|C1
large-scale|C1
laser|C1
latter|C1
lawmaker|C1
lawn|C1
lawsuit|C1
layout|C1
leak|C1
leap|C1
legacy|C1
legendary|C1
legislation|C1
legislative|C1
legislature|C1
legitimate|C1
lengthy|C1
lesbian|C1
lesser|C1
lethal|C1
liable|C1
liberal|C1
liberation|C1
liberty|C1
lifelong|C1
likelihood|C1
limb|C1
linear|C1
line-up|C1
linger|C1
listing|C1
litre|C1
literacy|C1
liver|C1
lobby|C1
log|C1
logic|C1
long-standing|C1
long-time|C1
loom|C1
loop|C1
loyalty|C1
machinery|C1
magical|C1
magnetic|C1
magnitude|C1
mainland|C1
mainstream|C1
maintenance|C1
mandate|C1
mandatory|C1
manifest|C1
manipulate|C1
manipulation|C1
manuscript|C1
march|C1
marginal|C1
marine|C1
marketplace|C1
mask|C1
massacre|C1
mathematical|C1
mature|C1
maximise|C1
meaningful|C1
meantime|C1
medieval|C1
meditation|C1
melody|C1
memo|C1
memoir|C1
memorial|C1
mentor|C1
merchant|C1
mercy|C1
mere|C1
merely|C1
merge|C1
merger|C1
merit|C1
methodology|C1
midst|C1
migration|C1
militant|C1
militia|C1
mill|C1
minimal|C1
minimise|C1
mining|C1
ministry|C1
minute|C1
miracle|C1
misery|C1
misleading|C1
missile|C1
mob|C1
mobile|C1
mobility|C1
mobilise|C1
moderate|C1
modification|C1
module|C1
momentum|C1
monk|C1
monopoly|C1
morality|C1
motive|C1
municipal|C1
mutual|C1
namely|C1
nationwide|C1
naval|C1
neglect|C1
neighbouring|C1
nest|C1
net|C1
newsletter|C1
niche|C1
noble|C1
nod|C1
nominate|C1
nomination|C1
nominee|C1
nonetheless|C1
non-profit|C1
nonsense|C1
noon|C1
notable|C1
notably|C1
notify|C1
notorious|C1
novel|C1
nursery|C1
objection|C1
oblige|C1
obsess|C1
obsession|C1
occasional|C1
occurrence|C1
odds|C1
offering|C1
offspring|C1
operational|C1
opt|C1
optical|C1
optimism|C1
oral|C1
organisational|C1
orientation|C1
originate|C1
outbreak|C1
outing|C1
outlet|C1
outlook|C1
outrage|C1
outsider|C1
overlook|C1
overly|C1
oversee|C1
overturn|C1
overwhelm|C1
overwhelming|C1
pad|C1
parameter|C1
parental|C1
parliament|C1
partial|C1
partially|C1
passing|C1
passive|C1
pastor|C1
patent|C1
pathway|C1
patrol|C1
patron|C1
peak|C1
peasant|C1
peculiar|C1
pension|C1
persist|C1
persistent|C1
personnel|C1
petition|C1
philosopher|C1
philosophical|C1
pioneer|C1
pipeline|C1
pirate|C1
pit|C1
plea|C1
plead|C1
pledge|C1
plug|C1
plunge|C1
pole|C1
poll|C1
pond|C1
pop|C1
portfolio|C1
portray|C1
postpone|C1
post-war|C1
practitioner|C1
preach|C1
precedent|C1
precision|C1
predator|C1
predecessor|C1
predominantly|C1
pregnancy|C1
prejudice|C1
preliminary|C1
premier|C1
premise|C1
premium|C1
prescribe|C1
prescription|C1
presently|C1
preservation|C1
preside|C1
presidency|C1
prestigious|C1
presumably|C1
presume|C1
prevail|C1
prevalence|C1
prevention|C1
prey|C1
privatization|C1
privilege|C1
probe|C1
problematic|C1
proceeding|C1
proceeds|C1
processing|C1
processor|C1
proclaim|C1
productive|C1
productivity|C1
profitable|C1
profound|C1
projection|C1
prominent|C1
pronounced|C1
propaganda|C1
proposition|C1
prosecute|C1
prosecution|C1
prosecutor|C1
prospective|C1
prosperity|C1
protective|C1
protocol|C1
province|C1
provincial|C1
provision|C1
provoke|C1
psychiatric|C1
pulse|C1
pump|C1
punch|C1
query|C1
quest|C1
quota|C1
radar|C1
radical|C1
rage|C1
raid|C1
rally|C1
ranking|C1
rape|C1
ratio|C1
rational|C1
ray|C1
readily|C1
realization|C1
realm|C1
rear|C1
reasoning|C1
reassure|C1
rebel|C1
rebellion|C1
recipient|C1
reconstruction|C1
recount|C1
recruitment|C1
referendum|C1
reflection|C1
reform|C1
refuge|C1
refusal|C1
regain|C1
regardless|C1
regime|C1
regulator|C1
regulatory|C1
rehabilitation|C1
reign|C1
rejection|C1
relevance|C1
reliability|C1
reluctant|C1
remainder|C1
remains|C1
remedy|C1
reminder|C1
removal|C1
render|C1
renew|C1
renowned|C1
rental|C1
replacement|C1
reportedly|C1
representation|C1
reproduce|C1
reproduction|C1
republic|C1
resemble|C1
reside|C1
residence|C1
residential|C1
residue|C1
resignation|C1
resistance|C1
respective|C1
respectively|C1
restoration|C1
restraint|C1
resume|C1
retreat|C1
retrieve|C1
revelation|C1
revenge|C1
reverse|C1
revival|C1
revive|C1
revolutionary|C1
rhetoric|C1
rifle|C1
riot|C1
rip|C1
ritual|C1
robust|C1
rock|C1
rod|C1
rookie|C1
roster|C1
rotate|C1
rotation|C1
ruling|C1
rumour|C1
sacred|C1
sacrifice|C1
saint|C1
sake|C1
sanction|C1
say|C1
scattered|C1
scope|C1
screw|C1
scrutiny|C1
seal|C1
secondly|C1
secular|C1
seemingly|C1
segment|C1
seize|C1
seldom|C1
selective|C1
sensation|C1
sensitivity|C1
sentiment|C1
separation|C1
serial|C1
settlement|C1
setup|C1
sexuality|C1
shareholder|C1
shatter|C1
shed|C1
sheer|C1
shipping|C1
shoot|C1
shrink|C1
shrug|C1
sigh|C1
simulate|C1
simulation|C1
simultaneously|C1
sin|C1
situated|C1
sceptical|C1
sketch|C1
skip|C1
slam|C1
slap|C1
slash|C1
slavery|C1
slot|C1
smash|C1
snap|C1
soak|C1
soar|C1
socialist|C1
sole|C1
solely|C1
solidarity|C1
solo|C1
sophomore|C1
sound|C1
sovereignty|C1
spam|C1
span|C1
spark|C1
specialised|C1
specification|C1
specimen|C1
spectacle|C1
spectrum|C1
spell|C1
sphere|C1
spin|C1
spine|C1
spotlight|C1
spouse|C1
spy|C1
squad|C1
squeeze|C1
stab|C1
stability|C1
stabilise|C1
stake|C1
standing|C1
stark|C1
statistical|C1
steer|C1
stem|C1
stereotype|C1
stimulus|C1
stir|C1
storage|C1
straightforward|C1
strain|C1
strand|C1
strategic|C1
strip|C1
strive|C1
structural|C1
stumble|C1
stun|C1
submission|C1
subscriber|C1
subscription|C1
subsidy|C1
substantial|C1
substantially|C1
substitute|C1
substitution|C1
subtle|C1
suburban|C1
succession|C1
successive|C1
successor|C1
suck|C1
sue|C1
suicide|C1
suite|C1
summit|C1
superb|C1
superintendent|C1
superior|C1
supervise|C1
supervision|C1
supervisor|C1
supplement|C1
supportive|C1
supposedly|C1
suppress|C1
supreme|C1
surge|C1
surgical|C1
surplus|C1
surrender|C1
surveillance|C1
suspension|C1
suspicion|C1
suspicious|C1
sustain|C1
swing|C1
sword|C1
symbolic|C1
syndrome|C1
synthesis|C1
systematic|C1
tackle|C1
tactic|C1
tactical|C1
taxpayer|C1
tempt|C1
tenant|C1
tender|C1
tenure|C1
terminate|C1
terrain|C1
terrific|C1
testify|C1
testimony|C1
texture|C1
thankfully|C1
theatrical|C1
theology|C1
theoretical|C1
thereafter|C1
thereby|C1
thoughtful|C1
thread|C1
threshold|C1
thrilled|C1
thrive|C1
tide|C1
tighten|C1
timber|C1
timely|C1
tobacco|C1
tolerance|C1
tolerate|C1
toll|C1
top|C1
torture|C1
toss|C1
total|C1
toxic|C1
trademark|C1
trail|C1
trailer|C1
transaction|C1
transcript|C1
transformation|C1
transit|C1
transmission|C1
transparency|C1
transparent|C1
trauma|C1
treaty|C1
tremendous|C1
tribal|C1
tribute|C1
trio|C1
triumph|C1
trophy|C1
troubled|C1
trustee|C1
tuition|C1
tumour|C1
turnout|C1
turnover|C1
twist|C1
unconstitutional|C1
undergraduate|C1
underlying|C1
undermine|C1
undoubtedly|C1
unify|C1
unprecedented|C1
unveil|C1
upcoming|C1
upgrade|C1
uphold|C1
utility|C1
utilise|C1
utterly|C1
vacuum|C1
vague|C1
validity|C1
vanish|C1
variable|C1
varied|C1
vein|C1
venture|C1
verbal|C1
verdict|C1
